I continue to be impressed* by the ability of UK politics to have a collective crisis about leaving the EU in innov… https://t.co/Lp0H2NOMua,
"'Depressed, frightened': Boys as young as 9 are being arrested in Kashmir crackdown https://t.co/Wj86Q3m3CG https://t.co/q59S5BjG2K",
"'Depressed and frightened'

Reports say that 144 minors have been arrested in Indian-administrated Kashmir since th… https://t.co/iFMDhbRnRH",
RT @elvsthegoat: the holidays always make me depressed lmao,
"RT @NkaniYabathathu: Depressed people always make people feel Happy, wanted and  appreciate because they know how it is like to feel unwant…",
"RT @hxrtbitch: does anyone else find it crazy that you can be so fucking depressed and no one around you even notices? not your parents, no…",
Can someone come visit me already I’m lonely and depressed,
"RT @PinballWitch: I had terrible sleep, bad dreams, am depressed as fuck. anyone wanna buy me dinner? i really need it...

https://t.co/5T4…",
why is this so sad we knew it was coming but it feels so final bc we don’t know about s3 yet i’m depressed,
"Im depressed, leave me alone. https://t.co/YY1PlZOWLK",
"Being alone, depressed and feeling left out is not a good thing. Why? I have been spending the last 2 hours searchi… https://t.co/Rif9zle8E9",
"RT @aylin10_: I literally go from being depressed to motivating myself to do &amp; be better, like who was I 5 seconds ago cuz not I",
"RT @aylin10_: I literally go from being depressed to motivating myself to do &amp; be better, like who was I 5 seconds ago cuz not I",
RT @oedipuswreckz: My alma mater just announced their official mascot is a non-binary unicorn and everyone I graduated with either A.) does…,
"RT @Rockprincess818: Dow Heads Toward Six-Day Win Streak as China Makes Tariff Exemptions. 

For the depressed lefties and CNN ,,,This is w…",
Chasing after a nigga who don’t really give a fuck about you will put you into a depression. You girls better wake… https://t.co/Wy7tFkibgp,
RT @randumb_habesha: She’s so toxic for that wtf. “I offended you and you made me feel bad for offending you it’s all your fault. Gonna go…,
I’m depressed https://t.co/0PB0exUyXw,
RT @Daddyistwenty: Telling a depressed person to just cheer up is like telling a broke person to just go to the ATM. https://t.co/qDFrNmg6t4,
"RT @aylin10_: I literally go from being depressed to motivating myself to do &amp; be better, like who was I 5 seconds ago cuz not I",
RT @lunardva: IM DEPRESSED https://t.co/s5fyZHCuWM,
girls who used to make slime are all depressed now,
"then i go back to being depressed, what type of shit .. 😏 https://t.co/UtTkcsGHoC",
RT @chuckysemiwaras: Because a depressed adult was once a happy kid https://t.co/FB5OIPItBg,
"RT @suryarose2015: @highginxbeatz @PromiseJRhodes whatever life is serving up and end up unhappy, depressed or will make other people’s liv…",
why do I feel like I relate to those documentaries of gay depressed men killing themselves by 35,
RT @_ethanc__: SO I WAS DEPRESSED AND DECIDED TO SEE HOW MUCH MY BROKE ASS WAS OVERDRAWN AND JUST IN TIME FINANCIAL AID CAME IN BEFORE I GO…,
RT @kam2slmpd: 1-800-273-8255 is the suicide hotline. If you or a loved one is depressed please reach out and get help. Suicide is never th…,
"@ozmaofpawnee yeah she didn't get that far, she just asked if i was depressed, i'm like 98% sure her endgame was a… https://t.co/lSykcxM2CD",
"I had terrible sleep, bad dreams, am depressed as fuck. anyone wanna buy me dinner? i really need it...… https://t.co/r4voKNYhUs",
RT @FRESHMANlMAN: Me ignoring all of responsibilities and listening to sad music to make me more depressed instead https://t.co/8mALilUJnR,
"RT @AllahGreatQuran: Happy? Pray.

Sad? pray. 

Giving up? pray. 

Hurting? pray. 

Depressed? pray. 

Struggling? pray. 

Worried? pray.…",
"i am like depressed but i want to look like i am very fine, something that it's totally wrong xD 

DEPRESSION SUCKS!!",
"RT @Gugu_Zullu: My grandmother once told me that if you feel like you are stressed or depressed, talk to a stranger, someone who knows noth…",
Oh I’m big depressed,
"RT @NX0NGRAVEST0NES: winter depression is here

who am i kidding? i’ve been depressed this whole year lol",
@sahradow She sings for the depressed &amp; devastated. From my point of view.,
"RT @aylin10_: I literally go from being depressed to motivating myself to do &amp; be better, like who was I 5 seconds ago cuz not I",
"RT @1of2vics: I am a Black man. I am strong; physically, mentally, spiritually, and emotionally. But, if I told you I felt scared, nervous,…",
@luwii47 real depressed teens listen to how to leave town 30 times in a row,
@VERYCOOLPERSON_ You are a boy? I just started following you because I thought you were a depressed underage skinny girl,
“The damsels are depressed” it’s me. I’m the damsels,
RT @Onlyzay15: The best revenge is happiness cause a mf wanna see you depressed and down bad 💯,
"@AngelaBelcamino @realDonaldTrump 2/2 4) Present to the dulled, drugged, smart-phoned, isolated, unhealthy, repress… https://t.co/oeUHZJhUjv",
@_amcintyre Awk Amy love we’ve all been severely depressed xx,
"@Kibbles_at_home @pokey_pine Bless! I am always happy to hear such! And yeah, I guess I would be the worst depresse… https://t.co/qEjXbM2D0U",
RT @_courtneyblvk: Y’all remember when dressing in all black wasn’t popular and people asked you daily at school if you were “emo” “depress…,
RT @MetellaPegoraro: Just finished watching #afterlifenetflix Thank you @rickygervais🙏 I'm almost as depressed as Tony at this time.  It wa…,
Not going to a Dodgers post season game has me depressed,
"RT @aylin10_: I literally go from being depressed to motivating myself to do &amp; be better, like who was I 5 seconds ago cuz not I",
@garfieldfan420 couches hit different esp when i’m depressed lol,
depressed bitch .. 🤷🏾‍♀️😂 https://t.co/2QK2Gf9GrE,
"RT @aylin10_: I literally go from being depressed to motivating myself to do &amp; be better, like who was I 5 seconds ago cuz not I",
RT @FRESHMANlMAN: Me ignoring all of responsibilities and listening to sad music to make me more depressed instead https://t.co/8mALilUJnR,
RT @AMPARADOXXX: You know what’s worse than being depressed? .... being depressed and nobody takes it seriously cause you the “Strong frien…,
The more I try to be fucking happy the more depressed I get,
RT @FRESHMANlMAN: Me ignoring all of responsibilities and listening to sad music to make me more depressed instead https://t.co/8mALilUJnR,
"doesn't matter I'm boring, I'm alone, I'm depressed, or I'm sad...It's all about I'm with myself. https://t.co/eq7kEX23Pz",
RT @chuckysemiwaras: Because a depressed adult was once a happy kid https://t.co/FB5OIPItBg,
RT @FRESHMANlMAN: Me ignoring all of responsibilities and listening to sad music to make me more depressed instead https://t.co/8mALilUJnR,
RT @BigGlitch1: thinking about punk rock and I'm getting depressed thinking about a bunch of muslims in america in the late 90s bashing on…,
RT @painintheassliz: no i’m not depressed.. i just have a pisces moon,
depressed again hah,
"RT @aylin10_: I literally go from being depressed to motivating myself to do &amp; be better, like who was I 5 seconds ago cuz not I",
RT @inkydojikko: I thought Joker was excellent and I feel really depressed about it.,
Well fuck. I was depressed before and now I'm just mush.,
"RT @Scribulatora: I seriously haven't got the stomach for this Hamish Marshall meets Warren Kinsella meets Robert Fife election.

I'm disgu…",
"RT @wormgrandpa: Waiting for the train to come and heat me
Heat me with that ddru ddru ddru
#depressed https://t.co/jYlRCjORx6",
RT @KimbleErica: @charliekirk11 @realDonaldTrump Im kind of depressed I'm not a part of it.,
"Thanks everyone, I am no longer depressed https://t.co/Fe529IvTzJ",
"i am so fucking DEPRESSED and i know if i bought a nintendo switch Right Now it wouldnt solve all my problems but like,,,, it could",
"RT @aylin10_: I literally go from being depressed to motivating myself to do &amp; be better, like who was I 5 seconds ago cuz not I",
"RT @discountdaddie: I'm about to ""omg your stand up is so funny"" my way into some depressed man's dick",
RT @smughead_jones: I always forget about the part from the flash forward where Betty says they need to go their separate ways and it makes…,
RT @FRESHMANlMAN: Me ignoring all of responsibilities and listening to sad music to make me more depressed instead https://t.co/8mALilUJnR,
anyway ill stop whining im just depressed and cant do anything about it because im poor and cant do anything about… https://t.co/R491oiep4P,
"RT @aylin10_: I literally go from being depressed to motivating myself to do &amp; be better, like who was I 5 seconds ago cuz not I",
@WashedMayfield nah you get what you want then you become depressed again lmao,
Work will be the death of my social life rlly... depressed,
"RT @aylin10_: I literally go from being depressed to motivating myself to do &amp; be better, like who was I 5 seconds ago cuz not I",
RT @FRESHMANlMAN: Me ignoring all of responsibilities and listening to sad music to make me more depressed instead https://t.co/8mALilUJnR,
@cybbys eli would be so depressed man 😭,
RT @_courtneyblvk: Y’all remember when dressing in all black wasn’t popular and people asked you daily at school if you were “emo” “depress…,
RT @FRESHMANlMAN: Me ignoring all of responsibilities and listening to sad music to make me more depressed instead https://t.co/8mALilUJnR,
"@ProxyAura Believe it or not, most of what we started with ended up in the game. I think mostly what got axed were… https://t.co/HdwDKAp6LS",
RT @HeavyyTari: Y’all ever been depressed over your expenses &amp; then turn around and spend money trying to treat yourself to help with the s…,
RT @qz: 1. Get out of your apartment. https://t.co/sPxiMnDJia,
"RT @aylin10_: I literally go from being depressed to motivating myself to do &amp; be better, like who was I 5 seconds ago cuz not I",
"RT @a_s_h_lee: horny and depressed, boutta try to masturbate to death. Either it works and I die or I just have multiple orgasms and fall a…",
RT @FRESHMANlMAN: Me ignoring all of responsibilities and listening to sad music to make me more depressed instead https://t.co/8mALilUJnR,
"My dad just told me to have another kid and move to Reno, Nevada with him.
I’m pretty sure he’s just as depressed as I am :(",
RT @FweeHouses: sylvain: i am straight up depressed. mercedes’ been doing her best to cheer me up. she gave me this sticker this morning ju…,
RT @FRESHMANlMAN: Me ignoring all of responsibilities and listening to sad music to make me more depressed instead https://t.co/8mALilUJnR,
RT @chuckysemiwaras: Because a depressed adult was once a happy kid https://t.co/FB5OIPItBg,
"RT @aylin10_: I literally go from being depressed to motivating myself to do &amp; be better, like who was I 5 seconds ago cuz not I",
"RT @aylin10_: I literally go from being depressed to motivating myself to do &amp; be better, like who was I 5 seconds ago cuz not I",
Man I’m depressed af now,
@YYZStefan I’m depressed already,
"RT @Leslieoo7: I'm truly depressed today. I live in Florida and with Rubio, Scott, and DeSantis, I might as well live in Moscow. My entire…",
As cliche as this sounds... if I had to choose between being happy &amp; 50 million dollars I’d rather be happy. Money… https://t.co/fimFWinSyD,
