3,less,-1.6630000000000003,1
4,less,-1.433,1
0,more,1.292,0
0,more,4.5969999999999995,0
0,more,0.131,0
0,more,1.425,0
5,less,-2.733,1
2,more,-1.523,1
2,more,-1.414,1
1,more,-0.07899999999999996,1
1,more,1.7240000000000002,0
2,more,-3.003,1
0,more,3.965,0
6,less,-4.023000000000001,1
0,more,0.543,0
1,equal,-1.2630000000000001,1
3,less,-0.9070000000000001,1
0,more,0.131,0
5,less,-3.6010000000000004,1
3,more,-0.09600000000000025,1
0,more,0.868,0
6,less,-6.593999999999999,1
0,more,0.131,0
3,more,1.6029999999999998,0
5,equal,-1.0339999999999998,1
2,more,2.175,0
2,more,4.337000000000001,0
0,more,3.499,0
6,more,-0.011000000000000565,1
0,more,0.991,0
2,more,3.396,0
1,more,0.28800000000000003,0
0,more,0.131,0
5,equal,-3.2880000000000003,1
3,less,-3.277,1
2,less,-1.3840000000000001,1
2,more,0.7579999999999998,0
1,more,2.005,0
0,more,1.644,0
3,less,-2.606,1
5,equal,0.14099999999999957,0
3,less,-2.967,1
2,more,-0.16500000000000015,1
1,more,0.44000000000000006,0
0,more,0.547,0
1,less,-1.358,1
7,less,0.616,0
2,more,-0.1100000000000001,1
2,more,0.3029999999999999,0
2,equal,-2.252,1
1,more,1.089,0
2,less,-1.566,1
2,more,-2.0410000000000004,1
0,more,0.972,0
2,more,-0.093,1
2,equal,-1.104,1
5,less,-0.8240000000000003,1
3,less,-1.4400000000000002,1
0,more,0.868,0
7,less,-9.188999999999998,1

